date,dmi
1870-01-01,-0.4380
1870-02-01,-0.3360
1870-03-01,0.1770
1870-04-01,-0.0480
1870-05-01,-0.4800
1870-06-01,-0.5480
1870-07-01,-0.6500
1870-08-01,-0.5220
1870-09-01,-0.7280
1870-10-01,-0.6360
1870-11-01,-0.4010
1870-12-01,-0.3750
1871-01-01,-0.2730
1871-02-01,-0.1700
1871-03-01,-0.2120
1871-04-01,-0.1480
1871-05-01,-0.1150
1871-06-01,-0.1630
1871-07-01,-0.4440
1871-08-01,-0.3750
1871-09-01,-0.3360
1871-10-01,-0.5270
1871-11-01,-0.2170
1871-12-01,-0.2280
1872-01-01,-0.0370
1872-02-01,0.0410
1872-03-01,-0.0760
1872-04-01,-0.0840
1872-05-01,-0.1480
1872-06-01,-0.0840
1872-07-01,-0.2850
1872-08-01,-0.3250
1872-09-01,-0.3330
1872-10-01,-0.2700
1872-11-01,-0.1060
1872-12-01,-0.1110
1873-01-01,0.0620
1873-02-01,-0.3190
1873-03-01,-0.4040
1873-04-01,-0.2720
1873-05-01,-0.4110
1873-06-01,-0.5870
1873-07-01,-0.6890
1873-08-01,-0.8000
1873-09-01,-0.6940
1873-10-01,-0.4790
1873-11-01,-0.3530
1873-12-01,-0.3030
1874-01-01,-0.3810
1874-02-01,-0.3880
1874-03-01,-0.5860
1874-04-01,-0.7540
1874-05-01,-0.4410
1874-06-01,-0.4650
1874-07-01,-0.3380
1874-08-01,-0.3450
1874-09-01,-0.8140
1874-10-01,-1.1580
1874-11-01,-0.6030
1874-12-01,-0.7900
1875-01-01,-0.4500
1875-02-01,-0.1860
1875-03-01,-0.0980
1875-04-01,0.0290
1875-05-01,-0.1340
1875-06-01,-0.0940
1875-07-01,-0.5110
1875-08-01,-0.2480
1875-09-01,-0.3970
1875-10-01,-0.6580
1875-11-01,-0.8910
1875-12-01,-0.4600
1876-01-01,-0.3610
1876-02-01,-0.5040
1876-03-01,-0.4020
1876-04-01,-0.4760
1876-05-01,-0.4710
1876-06-01,-0.4240
1876-07-01,-0.3910
1876-08-01,-0.2670
1876-09-01,-0.0790
1876-10-01,-0.2130
1876-11-01,-0.3580
1876-12-01,-0.2970
1877-01-01,-0.3110
1877-02-01,0.3670
1877-03-01,0.1300
1877-04-01,-0.2800
1877-05-01,-0.6840
1877-06-01,-0.4900
1877-07-01,-0.5880
1877-08-01,0.2140
1877-09-01,0.5200
1877-10-01,0.4170
1877-11-01,0.5580
1877-12-01,0.1540
1878-01-01,-0.2610
1878-02-01,-0.3980
1878-03-01,-0.0160
1878-04-01,-0.0850
1878-05-01,-0.3550
1878-06-01,-0.3110
1878-07-01,-0.3830
1878-08-01,-0.2720
1878-09-01,-0.2080
1878-10-01,-0.6740
1878-11-01,-0.4610
1878-12-01,-0.4700
1879-01-01,-0.4290
1879-02-01,-0.4170
1879-03-01,-0.4530
1879-04-01,-0.5410
1879-05-01,-0.5130
1879-06-01,-0.2740
1879-07-01,-0.3740
1879-08-01,-0.6400
1879-09-01,-0.5910
1879-10-01,-0.7890
1879-11-01,-0.7610
1879-12-01,-0.6060
1880-01-01,-0.4630
1880-02-01,-0.2620
1880-03-01,-0.3270
1880-04-01,0.0020
1880-05-01,-0.1400
1880-06-01,-0.2990
1880-07-01,-0.5280
1880-08-01,-0.5860
1880-09-01,-0.5740
1880-10-01,-0.7550
1880-11-01,-0.5530
1880-12-01,-0.3480
1881-01-01,-0.1740
1881-02-01,-0.5070
1881-03-01,-0.3490
1881-04-01,-0.4500
1881-05-01,-0.1400
1881-06-01,0.1800
1881-07-01,-0.1160
1881-08-01,-0.0770
1881-09-01,-0.2990
1881-10-01,-0.4620
1881-11-01,-0.3760
1881-12-01,-0.4960
1882-01-01,-0.5570
1882-02-01,-0.6800
1882-03-01,-0.1490
1882-04-01,-0.1340
1882-05-01,-0.0680
1882-06-01,-0.0710
1882-07-01,-0.2330
1882-08-01,-0.4970
1882-09-01,-0.6520
1882-10-01,-0.5100
1882-11-01,-0.3770
1882-12-01,-0.4310
1883-01-01,-0.7050
1883-02-01,-0.2070
1883-03-01,-0.3030
1883-04-01,-0.1260
1883-05-01,-0.1900
1883-06-01,-0.0840
1883-07-01,-0.2880
1883-08-01,-0.1240
1883-09-01,-0.5020
1883-10-01,-0.3480
1883-11-01,-0.3600
1883-12-01,-0.3250
1884-01-01,-0.4080
1884-02-01,-0.1830
1884-03-01,-0.3120
1884-04-01,0.0750
1884-05-01,0.2490
1884-06-01,-0.2030
1884-07-01,-0.0030
1884-08-01,-0.3060
1884-09-01,-0.4710
1884-10-01,-0.3680
1884-11-01,-0.4740
1884-12-01,-0.4170
1885-01-01,-0.4630
1885-02-01,-0.0900
1885-03-01,-0.1690
1885-04-01,-0.1980
1885-05-01,-0.1990
1885-06-01,-0.1300
1885-07-01,-0.2180
1885-08-01,-0.2300
1885-09-01,-0.3510
1885-10-01,-0.2180
1885-11-01,-0.4750
1885-12-01,-0.3850
