sea_level,time
millimeters,UTC
1814,1989-08-27T12:00:00Z
1822,1989-08-28T12:00:00Z
1838,1989-08-29T12:00:00Z
1853,1989-08-30T12:00:00Z
1858,1989-08-31T12:00:00Z
1859,1989-09-01T12:00:00Z
1854,1989-09-02T12:00:00Z
1827,1989-09-03T12:00:00Z
1811,1989-09-04T12:00:00Z
1816,1989-09-05T12:00:00Z
NaN,1989-09-06T12:00:00Z
NaN,1989-09-07T12:00:00Z
NaN,1989-09-08T12:00:00Z
1774,1989-09-09T12:00:00Z
1768,1989-09-10T12:00:00Z
1777,1989-09-11T12:00:00Z
1808,1989-09-12T12:00:00Z
NaN,1989-09-13T12:00:00Z
NaN,1989-09-14T12:00:00Z
NaN,1989-09-15T12:00:00Z
NaN,1989-09-16T12:00:00Z
NaN,1989-09-17T12:00:00Z
NaN,1989-09-18T12:00:00Z
NaN,1989-09-19T12:00:00Z
NaN,1989-09-20T12:00:00Z
NaN,1989-09-21T12:00:00Z
NaN,1989-09-22T12:00:00Z
NaN,1989-09-23T12:00:00Z
NaN,1989-09-24T12:00:00Z
NaN,1989-09-25T12:00:00Z
NaN,1989-09-26T12:00:00Z
NaN,1989-09-27T12:00:00Z
NaN,1989-09-28T12:00:00Z
NaN,1989-09-29T12:00:00Z
NaN,1989-09-30T12:00:00Z
NaN,1989-10-01T12:00:00Z
NaN,1989-10-02T12:00:00Z
NaN,1989-10-03T12:00:00Z
NaN,1989-10-04T12:00:00Z
NaN,1989-10-05T12:00:00Z
NaN,1989-10-06T12:00:00Z
NaN,1989-10-07T12:00:00Z
NaN,1989-10-08T12:00:00Z
NaN,1989-10-09T12:00:00Z
NaN,1989-10-10T12:00:00Z
1858,1989-10-11T12:00:00Z
1858,1989-10-12T12:00:00Z
1841,1989-10-13T12:00:00Z
1817,1989-10-14T12:00:00Z
1804,1989-10-15T12:00:00Z
1792,1989-10-16T12:00:00Z
1783,1989-10-17T12:00:00Z
1774,1989-10-18T12:00:00Z
1767,1989-10-19T12:00:00Z
1782,1989-10-20T12:00:00Z
1794,1989-10-21T12:00:00Z
1805,1989-10-22T12:00:00Z
1805,1989-10-23T12:00:00Z
1802,1989-10-24T12:00:00Z
1821,1989-10-25T12:00:00Z
1832,1989-10-26T12:00:00Z
1841,1989-10-27T12:00:00Z
1826,1989-10-28T12:00:00Z
1790,1989-10-29T12:00:00Z
NaN,1989-10-30T12:00:00Z
NaN,1989-10-31T12:00:00Z
NaN,1989-11-01T12:00:00Z
NaN,1989-11-02T12:00:00Z
NaN,1989-11-03T12:00:00Z
NaN,1989-11-04T12:00:00Z
NaN,1989-11-05T12:00:00Z
NaN,1989-11-06T12:00:00Z
NaN,1989-11-07T12:00:00Z
NaN,1989-11-08T12:00:00Z
NaN,1989-11-09T12:00:00Z
1777,1989-11-10T12:00:00Z
1777,1989-11-11T12:00:00Z
1756,1989-11-12T12:00:00Z
1765,1989-11-13T12:00:00Z
1784,1989-11-14T12:00:00Z
1789,1989-11-15T12:00:00Z
1805,1989-11-16T12:00:00Z
1809,1989-11-17T12:00:00Z
1792,1989-11-18T12:00:00Z
1783,1989-11-19T12:00:00Z
1776,1989-11-20T12:00:00Z
1761,1989-11-21T12:00:00Z
1751,1989-11-22T12:00:00Z
1750,1989-11-23T12:00:00Z
1766,1989-11-24T12:00:00Z
1781,1989-11-25T12:00:00Z
1787,1989-11-26T12:00:00Z
1791,1989-11-27T12:00:00Z
1780,1989-11-28T12:00:00Z
1767,1989-11-29T12:00:00Z
1753,1989-11-30T12:00:00Z
1741,1989-12-01T12:00:00Z
1733,1989-12-02T12:00:00Z
1728,1989-12-03T12:00:00Z
1765,1989-12-04T12:00:00Z
1815,1989-12-05T12:00:00Z
1828,1989-12-06T12:00:00Z
1832,1989-12-07T12:00:00Z
1848,1989-12-08T12:00:00Z
1855,1989-12-09T12:00:00Z
1852,1989-12-10T12:00:00Z
1851,1989-12-11T12:00:00Z
1870,1989-12-12T12:00:00Z
1901,1989-12-13T12:00:00Z
1909,1989-12-14T12:00:00Z
1896,1989-12-15T12:00:00Z
1884,1989-12-16T12:00:00Z
1889,1989-12-17T12:00:00Z
1900,1989-12-18T12:00:00Z
1881,1989-12-19T12:00:00Z
1870,1989-12-20T12:00:00Z
1886,1989-12-21T12:00:00Z
1884,1989-12-22T12:00:00Z
1870,1989-12-23T12:00:00Z
1863,1989-12-24T12:00:00Z
1822,1989-12-25T12:00:00Z
1812,1989-12-26T12:00:00Z
1833,1989-12-27T12:00:00Z
1827,1989-12-28T12:00:00Z
1825,1989-12-29T12:00:00Z
1879,1989-12-30T12:00:00Z
1912,1989-12-31T12:00:00Z
1913,1990-01-01T12:00:00Z
1926,1990-01-02T12:00:00Z
1926,1990-01-03T12:00:00Z
1921,1990-01-04T12:00:00Z
1922,1990-01-05T12:00:00Z
1909,1990-01-06T12:00:00Z
1888,1990-01-07T12:00:00Z
1869,1990-01-08T12:00:00Z
1859,1990-01-09T12:00:00Z
1864,1990-01-10T12:00:00Z
1874,1990-01-11T12:00:00Z
1881,1990-01-12T12:00:00Z
1881,1990-01-13T12:00:00Z
NaN,1990-01-14T12:00:00Z
NaN,1990-01-15T12:00:00Z
NaN,1990-01-16T12:00:00Z
NaN,1990-01-17T12:00:00Z
NaN,1990-01-18T12:00:00Z
NaN,1990-01-19T12:00:00Z
NaN,1990-01-20T12:00:00Z
NaN,1990-01-21T12:00:00Z
NaN,1990-01-22T12:00:00Z
NaN,1990-01-23T12:00:00Z
NaN,1990-01-24T12:00:00Z
NaN,1990-01-25T12:00:00Z
NaN,1990-01-26T12:00:00Z
NaN,1990-01-27T12:00:00Z
