date,msl_mm
1989-10-01,1810.1
1989-11-01,1776.2
1989-12-01,1847.1
1990-01-01,1894.8
1990-05-01,1756.3
1990-06-01,1838.2
1990-07-01,1921.7
1990-11-01,1800.7
1990-12-01,1867.7
1991-01-01,1894.8
1991-02-01,1842.7
1991-03-01,1900.8
1991-04-01,1906.9
1991-05-01,1903.4
1991-06-01,1892.3
1991-07-01,1948.5
1991-08-01,1893.1
1991-09-01,1834.6
1991-10-01,1855.0
1991-11-01,1810.6
1992-01-01,1854.3
1992-02-01,1868.6
1992-03-01,1900.7
1992-04-01,1923.9
1992-05-01,1905.7
1992-06-01,1882.3
1992-07-01,1925.4
1992-08-01,1863.3
1992-09-01,1858.2
1992-10-01,1803.9
1992-11-01,1863.8
1992-12-01,1878.5
1993-01-01,1893.5
1993-02-01,1864.0
1993-03-01,1899.4
1993-04-01,1912.9
1993-05-01,1904.6
1993-06-01,1892.9
1993-07-01,1902.1
1993-08-01,1818.9
1993-09-01,1851.4
1993-10-01,1842.6
1993-11-01,1833.7
1993-12-01,1834.0
1994-01-01,1871.5
1994-02-01,1896.3
1994-03-01,1875.3
1994-06-01,1932.5
1994-07-01,1940.8
1994-08-01,1937.0
1994-09-01,1937.3
1994-10-01,1924.0
1994-11-01,1951.6
1994-12-01,1859.7
1995-01-01,1915.2
1995-02-01,1916.7
1995-03-01,1921.9
1995-04-01,1996.7
1995-05-01,1935.8
1995-06-01,1928.7
1995-07-01,1956.9
1995-08-01,1914.3
1995-09-01,1870.4
1995-10-01,1813.6
1995-11-01,1797.2
1995-12-01,1835.4
1996-01-01,1890.5
1996-02-01,1904.0
1996-03-01,1930.5
1996-04-01,1961.8
1996-05-01,1891.6
1996-06-01,1922.0
1996-07-01,1915.5
1996-08-01,1873.3
1996-09-01,1878.1
1996-10-01,1829.5
1996-11-01,1820.8
1996-12-01,1884.3
1997-01-01,1933.5
1997-02-01,1899.0
1997-03-01,1912.0
1997-04-01,1949.5
1997-05-01,1918.3
1997-06-01,1889.4
1997-07-01,1954.5
1997-08-01,1877.0
1997-09-01,1886.3
1997-10-01,1957.3
1997-11-01,1938.6
1997-12-01,1906.2
1998-01-01,1891.1
1998-02-01,1883.9
1998-03-01,1927.2
1998-04-01,1983.2
1998-05-01,1999.1
1998-06-01,1952.7
1998-07-01,1991.7
1998-08-01,1904.5
1998-09-01,1880.5
1998-10-01,1846.0
1998-11-01,1793.9
1998-12-01,1851.4
1999-01-01,1937.2
1999-02-01,1921.6
1999-03-01,1968.0
1999-04-01,1896.1
1999-05-01,1925.3
1999-06-01,1939.5
1999-07-01,1933.5
1999-08-01,1889.8
1999-09-01,1911.1
